Sample	Date of Collection	Pangolin	Month	Week
ME-CDC-QDX29691746	2021-10-08	AY.119.2	2021-10	2021-40
ME-CDC-QDX29691824	2021-10-09	AY.25.1	2021-10	2021-40
ME-CDC-QDX29691823	2021-10-09	AY.103	2021-10	2021-40
ME-CDC-QDX29691837	2021-10-10	AY.117	2021-10	2021-41
ME-CDC-QDX29691845	2021-10-10	AY.25.1	2021-10	2021-41
ME-CDC-QDX29691847	2021-10-10	AY.3	2021-10	2021-41
ME-CDC-QDX29691838	2021-10-10	AY.44	2021-10	2021-41
ME-CDC-QDX30085096	2021-10-15	AY.44	2021-10	2021-41
ME-CDC-QDX30085095	2021-10-15	AY.44	2021-10	2021-41
ME-CDCBI-CRSP_HW2I5XK2LSSEJPIH	2021-10-25	AY.100	2021-10	2021-43
ME-CDCBI-CRSP_LZIQHCNPDYGTLVG3	2021-10-25	AY.39	2021-10	2021-43
ME-CDCBI-CRSP_YLAERBSBFU2XFQ3S	2021-10-25	AY.4	2021-10	2021-43
ME-CDCBI-CRSP_TRMZIWLH4SAKN5LJ	2021-10-25	AY.33	2021-10	2021-43
ME-CDCBI-CRSP_UCSAIMNFO66EPBXR	2021-10-22	AY.4	2021-10	2021-42
ME-CDC-STM-000742564	2021-10-12	AY.103	2021-10	2021-41
ME-CDC-STM-000743371	2021-10-14	AY.44	2021-10	2021-41
ME-CDC-QDX30215502	2021-10-17	AY.25.1	2021-10	2021-42
ME-CDC-QDX30215504	2021-10-17	AY.103	2021-10	2021-42
ME-CDC-QDX30215499	2021-10-17	AY.117	2021-10	2021-42
ME-CDC-QDX30215498	2021-10-17	AY.113	2021-10	2021-42
ME-CDC-QDX30215532	2021-10-18	AY.25	2021-10	2021-42
ME-CDC-QDX30215531	2021-10-18	AY.103	2021-10	2021-42
ME-CDC-QDX30215548	2021-10-18	AY.100	2021-10	2021-42
ME-CDC-QDX30240430	2021-10-17	AY.103	2021-10	2021-42
ME-CDC-QDX30240431	2021-10-17	AY.47	2021-10	2021-42
ME-CDC-QDX30240423	2021-10-17	AY.47	2021-10	2021-42
ME-CDC-QDX30240428	2021-10-18	AY.103	2021-10	2021-42
ME-CDC-QDX30240404	2021-10-18	AY.26	2021-10	2021-42
ME-CDC-QDX30240385	2021-10-18	AY.44	2021-10	2021-42
ME-CDC-QDX30240424	2021-10-18	AY.39	2021-10	2021-42
ME-CDC-QDX30240435	2021-10-18	AY.103	2021-10	2021-42
ME-CDC-QDX30240427	2021-10-18	AY.103	2021-10	2021-42
ME-CDC-QDX30240422	2021-10-18	AY.100	2021-10	2021-42
ME-CDC-QDX30240434	2021-10-18	AY.25.1	2021-10	2021-42
ME-CDC-QDX30240436	2021-10-18	AY.26	2021-10	2021-42
ME-CDC-QDX30240426	2021-10-18	AY.103	2021-10	2021-42
ME-CDC-QDX30240449	2021-10-19	AY.117	2021-10	2021-42
ME-CDC-QDX30240464	2021-10-19	AY.3	2021-10	2021-42
ME-CDC-QDX30240462	2021-10-19	AY.47	2021-10	2021-42
ME-CDC-QDX30240461	2021-10-19	AY.103	2021-10	2021-42
ME-CDC-QDX30240451	2021-10-19	AY.25	2021-10	2021-42
ME-CDC-QDX30240463	2021-10-19	AY.44	2021-10	2021-42
ME-CDC-QDX30240450	2021-10-19	AY.25	2021-10	2021-42
ME-CDC-QDX30240456	2021-10-19	AY.14	2021-10	2021-42
ME-CDC-QDX30240453	2021-10-19	AY.25	2021-10	2021-42
ME-CDC-IBX306651686286	2021-10-23	AY.44	2021-10	2021-42
ME-CDCBI-CRSP_SIZJH27KJIOOL53D	2021-10-29	AY.119	2021-10	2021-43
ME-CDCBI-CRSP_4AQ7WSKLX3UHAOTS	2021-10-28	AY.103	2021-10	2021-43
ME-CDCBI-CRSP_W4JCUWA3ZOLZX3N3	2021-10-28	AY.103	2021-10	2021-43
ME-CDC-ASC210286930	2021-09-30	AY.25	2021-9	2021-39
ME-CDC-ASC210286931	2021-09-30	AY.103	2021-9	2021-39
ME-CDC-ASC210382521	2021-09-30	AY.25	2021-9	2021-39
ME-CDC-ASC210325164	2021-09-30	AY.107	2021-9	2021-39
ME-CDC-ASC210325296	2021-10-01	AY.122	2021-10	2021-39
ME-CDC-ASC210325305	2021-10-01	AY.100	2021-10	2021-39
ME-CDC-ASC210325304	2021-10-01	AY.119.2	2021-10	2021-39
ME-CDC-ASC210325303	2021-10-01	AY.119.2	2021-10	2021-39
ME-CDC-ASC210200226	2021-10-01	AY.103	2021-10	2021-39
ME-CDC-ASC210200225	2021-10-01	AY.25	2021-10	2021-39
ME-CDC-ASC210325322	2021-10-03	AY.103	2021-10	2021-40
ME-CDC-ASC210200583	2021-10-03	AY.107	2021-10	2021-40
ME-CDC-ASC210201526	2021-10-05	AY.103	2021-10	2021-40
ME-CDC-ASC210336882	2021-10-06	AY.103	2021-10	2021-40
ME-CDC-ASC210339723	2021-10-07	AY.39	2021-10	2021-40
ME-CDC-ASC210310090	2021-10-04	AY.39	2021-10	2021-40
ME-CDC-ASC210308655	2021-10-04	AY.103	2021-10	2021-40
ME-CDC-ASC210313170	2021-10-05	AY.26	2021-10	2021-40
ME-CDC-ASC210313544	2021-10-05	AY.100	2021-10	2021-40
ME-CDC-ASC210336132	2021-10-06	AY.122	2021-10	2021-40
ME-CDC-ASC210336133	2021-10-06	AY.122	2021-10	2021-40
ME-CDC-ASC210336134	2021-10-06	AY.25.1	2021-10	2021-40
ME-CDC-ASC210338078	2021-10-06	AY.44	2021-10	2021-40
ME-CDC-ASC210340312	2021-10-07	AY.4	2021-10	2021-40
ME-CDC-ASC210315500	2021-10-08	AY.100	2021-10	2021-40
ME-CDC-ASC210315501	2021-10-08	AY.100	2021-10	2021-40
ME-CDC-ASC210315427	2021-10-08	AY.103	2021-10	2021-40
ME-CDC-ASC210315558	2021-10-08	AY.103	2021-10	2021-40
ME-CDC-ASC210315559	2021-10-08	AY.103	2021-10	2021-40
ME-CDC-ASC210315565	2021-10-08	AY.103	2021-10	2021-40
ME-CDC-ASC210315460	2021-10-08	AY.103	2021-10	2021-40
ME-CDC-ASC210315468	2021-10-08	AY.47	2021-10	2021-40
ME-CDC-ASC210315467	2021-10-08	AY.103	2021-10	2021-40
ME-CDC-ASC210316439	2021-10-09	AY.44	2021-10	2021-40
ME-CDC-ASC210314782	2021-10-05	AY.14	2021-10	2021-40
ME-CDC-ASC210336776	2021-10-05	AY.103	2021-10	2021-40
ME-CDC-ASC210336666	2021-10-06	AY.103	2021-10	2021-40
ME-CDC-ASC210336667	2021-10-06	AY.39	2021-10	2021-40
ME-CDC-ASC210336669	2021-10-06	AY.103	2021-10	2021-40
ME-CDC-ASC210337643	2021-10-06	AY.44	2021-10	2021-40
ME-CDC-ASC210341800	2021-10-06	AY.44	2021-10	2021-40
ME-CDC-ASC210343283	2021-10-06	AY.39	2021-10	2021-40
ME-CDC-ASC210338828	2021-10-06	AY.26	2021-10	2021-40
ME-CDC-ASC210314815	2021-10-06	AY.103	2021-10	2021-40
ME-CDC-ASC210314816	2021-10-06	AY.103	2021-10	2021-40
ME-CDC-ASC210314817	2021-10-06	AY.103	2021-10	2021-40
ME-CDC-ASC210337641	2021-10-07	AY.113	2021-10	2021-40
ME-CDC-ASC210343400	2021-10-08	AY.107	2021-10	2021-40
ME-CDC-ASC210343307	2021-10-08	AY.117	2021-10	2021-40
ME-CDC-ASC210342222	2021-10-08	AY.103	2021-10	2021-40
ME-CDC-ASC210342224	2021-10-08	AY.103	2021-10	2021-40
ME-CDC-ASC210342223	2021-10-08	AY.118	2021-10	2021-40
ME-CDC-ASC210338950	2021-10-08	AY.44	2021-10	2021-40
ME-CDC-ASC210343920	2021-10-09	AY.103	2021-10	2021-40
ME-CDC-ASC210343921	2021-10-09	AY.3	2021-10	2021-40
ME-CDC-ASC210343924	2021-10-09	AY.100	2021-10	2021-40
ME-CDC-ASC210344203	2021-10-09	AY.44	2021-10	2021-40
ME-CDC-ASC210344202	2021-10-09	AY.44	2021-10	2021-40
ME-CDC-ASC210344948	2021-10-09	AY.114	2021-10	2021-40
